대응방안,중요도
피해자 구제제도 강화,4.074
처벌 법규제 강화,4.06
팩트체크 기관 확보,4.007
플랫폼 자율규제 강화,3.997
공적기구 설치·제도화,3.978
미디어 리터러시 교육 확대,3.845
