문제점,기자_심각성,수용자_심각성,격차(수용자−기자)
오보,3.662,3.664,0.002
낚시성,4.302,3.833,-0.469
어뷰징,4.267,3.816,-0.451
편파,4.013,3.828,-0.186
광고성,3.813,3.666,-0.146
가짜뉴스,3.905,3.798,-0.106
